iter	Passed	Remaining
0	8	6878
1	14	6077
2	20	5705
3	26	5658
4	32	5460
5	38	5355
6	43	5270
7	49	5227
8	55	5152
9	61	5191
10	67	5138
11	73	5117
12	79	5083
13	84	5068
14	91	5092
15	96	5040
16	102	5008
17	108	5025
18	114	4983
19	120	5006
20	127	5012
21	133	5019
22	139	5018
23	145	5006
24	151	5007
25	157	4990
26	163	4975
27	168	4954
28	174	4946
29	180	4932
30	185	4905
31	191	4897
32	198	4896
33	207	4962
34	212	4944
35	219	4955
36	225	4945
37	230	4920
38	237	4922
39	241	4893
40	246	4864
41	252	4857
42	259	4859
43	265	4852
44	272	4863
45	278	4856
46	283	4840
47	290	4844
48	295	4820
49	301	4820
50	307	4812
51	313	4808
52	319	4805
53	325	4791
54	332	4806
55	338	4800
56	345	4802
57	351	4790
58	357	4787
59	363	4777
60	368	4765
61	374	4753
62	380	4748
63	387	4756364	394	47664	988	7041
65	1003	7026
66	1018	7006
67	1032	6981
68	1046	6961
69	1061	6944
70	1077	6933
71	1092	6916
72	1106	6897
	4707
75	462	4701
76	467	4688
77	473	4677
78	479	4671
79	486	4672
80	494	4686
81	500	4681
82	507	4682
83	512	4670
84	518	4662
85	524	4655
86	532	4661
87	538	4660
88	545	4657
89	552	4656
90	557	4645
91	563	4636
92	569	4631
93	575	4621
94	581	4617
95	587	4608
96	594	4606
97	600	4598
98	606	4595
99	611	4580
100	618	4578
101	623	4567
102	629	4558
103	635	4551
104	640	4539
105	645	4525
106	651	4518
107	657	4508
108	663	4503
109	669	4496
110	675	4491
111	682	4491
112	687	4480
113	693	4474
114	700	4472
115	707	4468
116	713	4461
117	719	4455
118	725	4449
119	731	4446
120	738	4440
121	744	4438
122	752	4441
123	760	4447
124	768	4452
125	777	4459
126	784	4459
127	791	4458
128	798	4454
129	805	4452
130	812	4451
131	817	4441
132	824	4437
133	831	4435
134	837	4428
135	842	4418
136	848	4408
137	853	4398
138	860	4395
139	866	4389
140	873	4383
141	880	4381
142	885	4373
143	892	4367
144	898	4364
145	905	4358
146	911	4350
147	917	4344
148	924	4341
149	931	4339
150	938	4339
151	944	4330
152	951	4327
153	957	4322
154	963	4316
155	969	4306
156	976	4301
157	980	4289
158	987	4284
159	992	4274
160	998	4268
161	1005	4262
162	1011	4257
163	1017	4249
164	1022	4239
165	1027	4226
166	1032	4218
167	1039	4211
168	1045	4205
169	1051	4199
170	1056	4190
171	1061	4177
172	1066	4168
173	1072	4160
174	1077	4148
175	1082	4138
176	1087	4128
177	1092	4119
178	1099	4115
179	1105	4108
180	1110	4097
181	1116	4090
182	1122	4085
183	1128	4077
184	1135	4075
185	1141	4068
186	1147	4063
187	1154	4057
188	1160	4052
189	1167	4049
190	1173	4043
191	1181	4041
192	1187	4034
193	1192	4027
194	1199	4022
195	1205	4017
196	1211	4009
197	1218	4006
198	1225	4002
199	1231	3995
200	1237	3989
201	1243	3984
202	1250	3980
203	1257	3974
204	1264	3973
205	1270	3964
206	1276	3958
207	1281	3949
208	1287	3941
209	1293	3936
210	1299	3929
211	1305	3922
212	1312	3918
213	1318	3912
214	1325	3907
215	1331	3900
216	1336	3892
217	1341	3882
218	1347	3875
219	1353	3869
220	1359	3863
221	1365	3857
222	1371	3850
223	1378	3845
224	1383	3836
225	1389	3829
226	1395	3824
227	1400	3815
228	1407	3809
229	1415	3808
230	1422	3804
231	1429	3801
232	1436	3797
233	1443	3792
234	1450	3789
235	1455	3779
236	1460	3772
237	1467	3766
238	1474	3763
239	1480	3757
240	1487	3753
241	1493	3746
242	1500	3741
243	1506	3735
244	1512	3728
245	1519	3724
246	1525	3717
247	1530	3710
248	1537	3705
249	1543	3698
250	1550	3693
251	1556	3686
252	1562	3680
253	1569	3675
254	1574	3668
255	1582	3664
256	1589	3662
257	1596	3657
258	1603	3651
259	1609	3647
260	1616	3641
261	1621	3633
262	1627	3626
263	1634	3621
264	1640	3614
265	1646	3609
266	1652	3602
267	1658	3595
268	1665	3590
269	1672	3585
270	1678	3580
271	1685	3575
272	1691	3569
273	1698	3564
274	1704	3558
275	1710	3551
276	1717	3545
277	1722	3538
278	1730	3535
279	1738	3533
280	1747	3531
281	1755	3528
282	1761	3523
283	1770	3521
284	1776	3515
285	1782	3509
286	1788	3503
287	1795	3497
288	1801	3491
289	1808	3486
290	1816	3482
291	1823	3477
292	1829	3472
293	1837	3467
294	1844	3463
295	1851	3458
296	1858	3454
297	1864	3446
298	1870	3440
299	1877	3435
300	1883	3429
301	1890	3424
302	1897	3419
303	1904	3413
304	1910	3407
305	1917	3401
306	1922	3394
307	1928	3387
308	1934	3380
309	1941	3374
310	1946	3368
311	1952	3361
312	1960	3356
313	1966	3350
314	1974	3346
315	1981	3341
316	1988	3337
317	1995	3332
318	2001	3325
319	2008	3320
320	2014	3314
321	2020	3306
322	2027	3301
323	2033	3294
324	2040	3289
325	2045	3280
326	2051	3274
327	2057	3268
328	2063	3261
329	2069	3255
330	2075	3248
331	2081	3240
332	2087	3235
333	2093	3227
334	2098	3219
335	2103	3212
336	2109	3204
337	2114	3197
338	2120	3190
339	2126	3183
340	2132	3176
341	2137	3169
342	2143	3161
343	2149	3155
344	2155	3148
345	2160	3140
346	2167	3136
347	2174	3130
348	2179	3122
349	2186	3117
350	2192	3110
351	2198	3103
352	2203	3096
353	2209	3089
354	2216	3083
355	2222	3077
356	2228	3071
357	2235	3065
358	2241	3059
359	2248	3054
360	2255	3048
361	2261	3042
362	2267	3036
363	2274	3031
364	2281	3025
365	2288	3020
366	2294	3012
367	2300	3006
368	2306	2999
369	2313	2994
370	2320	2989
371	2326	2983
372	2333	2978
373	2340	2972
374	2347	2967
375	2354	2961
376	2361	2956
377	2367	2950
378	2373	2943
379	2380	2938
380	2387	2932
381	2394	2927
382	2400	2920
383	2408	2916
384	2416	2911
385	2422	2905
386	2430	2901
387	2437	2896
388	2444	2890
389	2451	2884
390	2457	2878
391	2464	2872
392	2470	2866
393	2476	2859
394	2483	2854
395	2490	2848
396	2497	2843
397	2504	2838
398	2511	2832
399	2517	2825
400	2523	2819
401	2530	2813
402	2537	2807
403	2542	2800
404	2549	2795
405	2556	2789
406	2564	2784
407	2571	2779
408	2579	2774
409	2586	2769
410	2592	2763
411	2600	2757
412	2606	2751
413	2612	2745
414	2619	2738
415	2625	2732
416	2631	2726
417	2636	2718
418	2643	2712
419	2648	2705
420	2654	2698
421	2662	2693
422	2668	2687
423	2675	2681
424	2682	2675
425	2690	2671
426	2697	2666
427	2706	2661
428	2713	2656
429	2720	2650
430	2728	2645
431	2735	2640
432	2742	2634
433	2749	2628
434	2756	2623
435	2761	2616
436	2768	2609
437	2774	2603
438	2781	2597
439	2787	2591
440	2794	2585
441	2801	2579
442	2808	2574
443	2815	2567
444	2821	2561
445	2829	2556
446	2836	2551
447	2843	2545
448	2850	2539
449	2858	2534
450	2865	2529
451	2873	2523
452	2879	2517
453	2886	2511
454	2893	2505
455	2900	2499
456	2907	2494
457	2914	2487
458	2921	2482
459	2927	2475
460	2935	2470
461	2941	2464
462	2948	2458
463	2955	2452
464	2962	2446
465	2969	2440
466	2975	2434
467	2981	2427
468	2987	2420
469	2993	2413
470	2999	2407
471	3006	2401
472	3013	2395
473	3019	2389
474	3026	2382
475	3032	2376
476	3038	2369
