CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Geography_Germany,Gender_Male
646.0,38.0,4.0,0.0,2.0,0.0,479.56,0,1
595.0,30.0,4.0,146329.57,1.0,0.0,79329.7,0,0
648.0,31.0,7.0,98592.88,1.0,1.0,187925.75,0,1
687.0,35.0,4.0,0.0,2.0,1.0,83470.4,0,0
676.0,26.0,10.0,0.0,2.0,0.0,83342.73,0,1
762.0,37.0,7.0,0.0,1.0,1.0,77965.67,0,0
743.0,34.0,6.0,127862.93,1.0,1.0,113645.4,0,0
577.0,29.0,8.0,0.0,2.0,1.0,103608.06,0,0
721.0,34.0,8.0,0.0,2.0,1.0,166676.56,0,0
697.0,37.0,1.0,142639.64,1.0,0.0,172495.81,0,0
678.0,32.0,6.0,0.0,2.0,0.0,178045.97,0,1
584.0,36.0,9.0,0.0,2.0,1.0,134442.29,0,1
718.0,41.0,1.0,129668.31,1.0,0.0,163550.58,0,0
732.0,34.0,6.0,0.0,2.0,1.0,158887.09,0,1
699.0,35.0,1.0,0.0,2.0,1.0,130483.56,0,1
675.0,33.0,1.0,0.0,2.0,0.0,160810.85,0,1
616.0,28.0,3.0,0.0,2.0,0.0,95583.45,0,1
598.0,34.0,7.0,106242.27,1.0,0.0,177844.06,1,0
586.0,45.0,9.0,0.0,2.0,0.0,103934.12,0,0
686.0,38.0,8.0,0.0,2.0,0.0,141069.88,0,1
635.0,57.0,8.0,0.0,2.0,1.0,58879.31,0,1
717.0,32.0,8.0,131778.08,1.0,1.0,180869.55,1,1
637.0,38.0,4.0,140197.18,2.0,0.0,121084.27,1,1
584.0,36.0,3.0,0.0,2.0,1.0,60721.4,0,0
648.0,47.0,7.0,0.0,1.0,1.0,51672.08,0,0
634.0,49.0,6.0,0.0,1.0,1.0,124489.88,0,0
568.0,43.0,6.0,0.0,2.0,1.0,49373.94,0,0
643.0,40.0,7.0,152303.66,2.0,0.0,134790.74,1,1
663.0,38.0,5.0,0.0,2.0,1.0,90876.95,0,1
628.0,43.0,4.0,0.0,2.0,0.0,104930.46,0,0
828.0,33.0,10.0,132876.23,2.0,1.0,158037.57,0,1
645.0,35.0,1.0,0.0,2.0,1.0,173616.16,0,1
678.0,43.0,4.0,0.0,2.0,1.0,83700.66,0,0
699.0,57.0,6.0,0.0,1.0,1.0,134794.02,0,0
592.0,25.0,8.0,0.0,1.0,1.0,151822.66,0,0
641.0,47.0,2.0,0.0,2.0,0.0,166850.57,0,1
559.0,39.0,9.0,0.0,2.0,0.0,168035.63,0,1
821.0,57.0,8.0,0.0,2.0,1.0,60552.44,0,0
481.0,40.0,2.0,0.0,2.0,0.0,18082.06,0,0
639.0,52.0,6.0,99208.46,1.0,0.0,75969.19,1,1
710.0,40.0,4.0,0.0,2.0,1.0,169894.4,0,0
605.0,42.0,1.0,83714.41,2.0,1.0,187740.04,1,0
619.0,44.0,4.0,0.0,1.0,1.0,136034.43,0,0
833.0,30.0,2.0,0.0,2.0,0.0,176858.5,0,1
811.0,55.0,9.0,0.0,2.0,1.0,103945.58,0,1
721.0,37.0,2.0,118863.07,1.0,0.0,142415.97,1,0
699.0,35.0,6.0,102994.04,2.0,0.0,1713.1,1,1
644.0,41.0,4.0,99836.47,2.0,1.0,91903.9,1,1
561.0,44.0,5.0,145541.56,2.0,1.0,159800.16,1,0
768.0,34.0,8.0,0.0,2.0,0.0,77972.45,0,1
641.0,33.0,2.0,0.0,1.0,1.0,103944.34,0,1
632.0,33.0,8.0,133681.96,1.0,1.0,185210.63,0,0
567.0,35.0,4.0,131038.58,1.0,1.0,111180.3,0,1
584.0,32.0,8.0,0.0,2.0,1.0,172033.57,0,1
632.0,31.0,1.0,92316.31,1.0,0.0,186869.58,1,0
625.0,22.0,2.0,64740.12,1.0,0.0,125962.02,0,1
790.0,38.0,9.0,168001.34,2.0,1.0,180800.66,1,1
683.0,31.0,7.0,0.0,1.0,0.0,60905.51,0,0
804.0,44.0,5.0,0.0,2.0,1.0,158958.2,0,1
543.0,37.0,6.0,131744.66,1.0,1.0,83679.46,1,1
619.0,31.0,0.0,0.0,2.0,0.0,133591.11,0,0
571.0,32.0,9.0,0.0,2.0,0.0,185821.41,0,1
686.0,57.0,9.0,106088.59,1.0,0.0,119969.99,1,0
696.0,30.0,6.0,0.0,2.0,1.0,69079.85,0,1
